question,answer
Lloyd matematik özel dersinden saatte 10 dolar kazanıyor.  İlk hafta 5 saat ve ikinci hafta 8 saat özel ders verdi. İlk iki hafta için ne kadar kazanmıştır?,"Toplam kazancı hesaplamak için saat sayısını ve saat başına kazancı çarpmamız gerekiyor.

İlk hafta için: 5 saat * 10 dolar/saat = 50 dolar
İkinci hafta için: 8 saat * 10 dolar/saat = 80 dolar

İki haftanın toplam kazancı: 50 dolar + 80 dolar = 130 dolar

Lloyd, ilk iki hafta için toplam 130 dolar kazanmıştır."
John bir diziyi 5 gün içinde bitirmek istiyor.  Dizide 20 bölüm var ve her biri 30 dakika uzunluğunda.  Bir günde kaç saat izlemesi gerekiyor?,John'un diziyi 5 günde bitirebilmesi için her gün 2 saat izlemesi gerekiyor.
"Dylan, resepsiyonda 100 davetlinin bulunduğu bir düğüne katıldı. Her konuk 15 kurabiyelik bir tabak getirmişti. Gelin, düğün resepsiyonuna yardım ettikleri için teşekkür etmek amacıyla kurabiyelerin 1/2'sini yan taraftaki kiliseye vermeye karar verdi. Yan kilisedeki her kişi 15 kurabiye aldıysa, yan kilisede kaç kişi vardı?",Yan kilisede 50 kişi vardı.
"Ophelia ve Jenna aynı apartmanda yaşıyorlar. Her ikisinin de sandalyeden 2 daha az kanepesi var. Jenna, Ophelia'nın 3 katı kadar sandalyeye sahip. Ophelia'nın 20 kanepesi varsa, sahip oldukları toplam kanepe ve sandalye sayısını hesaplayın.","Ophelia'nın 20 kanepesi var. Her birinin sandalyeleri, kanepelerinden 2 eksik olduğu için Ophelia'nın sandalye sayısı 20 - 2 = 18'dir.

Jenna, Ophelia'nın sandalye sayısının 3 katına sahip. Yani Jenna'nın sandalye sayısı 18 * 3 = 54'tür. Kanepeleri ise sandalyelerinden 2 eksik, yani 54 - 2 = 52 kanepesi var.

Toplam kanepe sayısı: Ophelia'nın kanepeleri (20) + Jenna'nın kanepeleri (52) = 20 + 52 = 72.
Toplam sandalye sayısı: Ophelia'nın sandalyeleri (18) + Jenna'nın sandalyeleri (54) = 18 + 54 = 72.

Sonuç olarak, sahip oldukları toplam kanepe ve sandalye sayısı 72 + 72 = 144'tür."
Evcil hayvan dükkanında satılık 7 yavru köpek ve 6 yavru kedi vardır. İki yavru köpek ve üç yavru kedi satıldı. Dükkanda kaç evcil hayvan kalmıştır?,Dükkanda 8 evcil hayvan kalmıştır.
"Martin küçük zili büyük zilin 1/3'ünden 4 kat daha fazla çalıyor. Eğer her ikisini toplam 52 kez çalarsa, büyük zili kaç kez çalar?",Büyük zili 12 kez çalar.
Dane'in iki kızının bir bahçe yetiştirmek için 5'er çiçek ekmesi gerekiyor. Günler geçtikçe çiçekler 20 tane daha büyür ama 10 tanesi ölür. Dane'in kızları çiçekleri topladı ve 5 farklı sepete paylaştırdı. Her sepete kaç çiçek düşmüştür?,"Dane'in iki kızı başlangıçta toplam 10 çiçek eker. Daha sonra 20 tanesi büyür ve 10 tanesi ölürse, çiçek sayısı değişmez ve yine toplam 10 çiçek kalır. Bu 10 çiçek 5 sepete paylaştırıldığına göre, her sepete 2 çiçek düşer."
"Rafael teslimat işinde Pazartesi günü 10 saat ve Salı günü 8 saat çalışıyor. Haftanın kalan 20 saatinde çalıştığına göre, Rafael'e saat başına 20 dolar ödenirse ne kadar para kazanır?","Rafael Pazartesi günü 10 saat, Salı günü 8 saat ve haftanın kalan günlerinde 20 saat çalışıyor. Toplamda:

10 + 8 + 20 = 38 saat çalışıyor.

Saat başına 20 dolar kazanıyorsa:

38 saat * 20 dolar/saat = 760 dolar kazanır."
Tek bir kebap çubuğunda 4 küp sığır eti vardır. Maliyeti 25 dolar olan bir parça sığır eti 80 küpe bölünebilir. Simon 40 kebap çubuğu yapmak için ne kadar harcamalıdır?,"Simon 40 kebap çubuğu yapmak istiyor ve her bir kebap çubuğunda 4 küp sığır eti var. Böylece toplam 40 çubuğun içine 40 çubuğu 4 ile çarparak:

40 çubuk * 4 küp/çubuk = 160 küp sığır eti

Bir parça sığır eti 80 küpe bölünebilir ve maliyeti 25 dolardır. Simon'un 160 küp sığır eti elde etmek için kaç parça sığır eti alması gerektiğini hesaplayalım:

160 küp / 80 küp/parça = 2 parça sığır eti

Bu durumda Simon'un harcaması gereken para miktarı:

2 parça * 25 dolar/parça = 50 dolar

Simon 40 kebap çubuğu yapmak için 50 dolar harcamalıdır."
James 2 ağacındaki tüm meyveleri toplar.  Her ağaçta 20 bitki var.  Her bitkinin 1 tohumu var ve bunların %60'ını ekiyor.  Kaç ağaç dikmiştir?,James 24 ağaç dikmiştir.
