soru,zorluk
"Üçü üç defa üçle çarparsan kaç eder?",3
"Altısı altı liradan altı yumurta kaç liradır?",3
"Gökkuşağında kaç farklı renk vardır?",1
"3 elmam var, birini yedim ve birini de çöpe attım. Kaç elmam kaldı?",2
"Ahmet'in 5 kardeşi var. Bunlardan dördünün adı Lala, Lulu, Lele, Lili. Beşincisinin adı nedir?",2
"Ağaçkakanla şahin arasındaki ortak özellikler nelerdir?",1
"Ağrı dağı mı daha büyüktür yoksa bizim 5 katlı apartman mı?",1
"Bir sandalyenin kaç ayağı vardır?",1
"Altın mı daha değerlidir yoksa gümüş mü?",1
"Veli'nin dört kardeşi var ve her bir kardeşinin iki çocuğu var. Veli'nin kaç yeğeni var?",3
"Bir grup Mustafa, Mert, Ali ve Abdullah'dan oluşmaktadır. Bu grupta kaç kişi vardır?",2
"Ali'nin babasının karısı Ali'nin neyi olur?",3
"Bakkalda hangi ürünler bulunur?",1
"Kırtasiyeden kalem ve armut alabilir miyim?",2
"Bir evde kanguru bulunabilir mi?",1
"Mühendislik mesleği ne işe yarar?",2
"Kapı ne gibi durumlar için kullanılır?",2
"Koltukla sandalye arasında ne gibi farklar vardır?",2
"Fatih Sultan Mehmed kimdir?",2
"Şelale ne yöne doğru akar?",1
"Hitler kötü mü yoksa iyi mi bir insan?",2
"Pasinler savaşı hangi devletler arasında oldu?",2
"Celâleddin Harezmşah ile Cengiz arasında bir bağlantı var mı?",2
"Çağrı Bey ile Tuğrul Bey'in akrabalık bağları hakkında ne söyleyebilirsin?",2
"Yumurta mı tavuktan çıkar yoksa tavuk mu yumurtadan çıkar?",3
"Lens ile gözlük arasındaki farkları söyler misin?",2
"Fare ne yer?",1
"Zehirli bir yılan insanı sokarsa ne olur?",2
"Şifresi çok zor kırılan bir odaya girmek için ne yapmalıyım?",3
"Teker teker gelen 27 kediden en mutlusunun ağzında kan vardı. Neden mutlu olmuş olabilir?",3
"Bir araba yapmak için hangi bileşenlere ihtiyaç vardır?",3
"Telefonu sıfırlamak için ne yapmam gerekiyor?",3
"Robot süpürge ile arabayı nasıl süpürürüm?",3
"Bir tartının azami sınırı 250 KG'dır. Bu tartıya çıkan 300 KG'lık bir gorilden sonra tartı kaç KG'ı gösterir?",3
"Rize çayı mı daha güzel yoksa filtre kahve mi?",1
"Bir gülde diken olabilir mi?",1
"Küp şekerle toz şeker arasında hangi farklar vardır?",2
"Tükenmez kalemle yazdığım bir yazıyı silgiyle silebilir miyim?",1
"Antep fıstığı mı daha lezzetli yoksa bir telefon mu?",1
"Çalışan birisine tokat atarsam iyi bir şey yapmış olur muyum?",2
"'Ben sana gülüm demem, gülün ömrü az olur' diyen birisi karşısındakinin uzun mu yoksa kısa mı yaşamasını istiyordur?",3
"Cüzdana, 33'lük tespih koyulur mu?",1
"Bir insanda toplam kaç parmak vardır?",2
"Baştaki saç teli mi daha çoktur göz mü?",1
"Limon ve karpuz arasından hangisi daha ekşidir?",1
"Bir insan tırı kaldırabilir mi?",1
"Bir insan arabayı ittirebilir mi?",2
"Bir kavgada boyu uzun olan insan mı yoksa kısa olan insan mı daha avantajlıdır?",3
"Ayakkabıyı kafama giyebilir miyim?",1
"Ütü ile telefonu ütülemem mantıklı olur mu?",1
