Konu,Soru,Iyi_Cevap,Kotu_Cevap
Mimari,Anıt Kabir (Hindistan) hangi ünlü mimara aittir?,"Hint mimarı Lütfülah Kıymet tarafından tasarlanmıştır. Şah Cihan'ın emriyle eşi Mümtaz Mahal'in anısına Agra'da inşa edilen bu Moğol mimarisi başyapıtı, simetri, ince işçilik ve beyaz mermer kullanımıyla tanınır. Kubbe, minareler ve bahçesiyle bütüncül bir tasarım sunar.",Frank Lloyd Wright'ın eseri olduğu söylenir.
Mimari,Notre Dame Katedrali (Paris) ne zaman yeniden açıldı?,Yangından sonraki restorasyon çalışmaları sürmektedir; resmi açılış tarihi henüz belirlenmemiştir. Başlangıçtaki tahmini 2024 hedefi gecikmeler nedeniyle ertelenmiştir. Gotik mimarinin ikonik örneği olan katedralin restorasyonu karmaşık yapısal onarımlar gerektirmektedir.,"2020 yılında tamamen açıldığı söyleniyor, hatta içinde kahve içilebiliyormuş."
Mimari,Sagrada Familia (Barselona) neden hala tamamlanmadı?,Antonio Gaudí'nin ölümü (1926) ve sonrasında yaşanan İspanya İç Savaşı döneminde projeler durduruldu. Sonraki yıllarda farklı mimarların devralması ve fon sorunları inşaatın yavaşlamasına neden oldu. Tamamlanması için gereken kaynaklar ve teknik zorluklar süreci uzattı.,Çünkü Tanrı dünyadaki en yüksek binayı yaptırmaya karar verdi ve inşaatı durdurdu.
Mimari,Parthenon (Atina) hangi mimari tarza örnektir?,"Dor düzenindeki klasik Yunan mimarisinin mükemmel bir örneğidir. Fidias liderliğinde MÖ 5. yüzyılda inşa edilmiş tapınak, oranlardaki matematiksel hassasiyeti (""entasis"" tekniği dahil) ve heykel süslemeleriyle antik mimarinin zirvesini temsil eder.","Rönesans tarzında bir saraydır, Atina'daki belediye binası olarak kullanılır."
Mimari,Frank Lloyd Wright'ın Guggenheim Müzesi'nin ayırt edici özelliği nedir?,"Döner rampanın merkezi ekseni oluşturduğu spiral planıyla organik mimarinin sembolüdür. Işık, mekan ve sanat eserlerinin ilişkisini vurgulamak için tasarlanan rampadan sürekli yükselen izleyici deneyimi benzersizdir.","Kare şeklindeki geleneksel müze katlarından oluşur, sadece yer altında sergi alanları vardır."
Mimari,Pantheon (Roma) ile ilgili ilginç bir mühendislik gerçeği nedir?,"43 metre çapındaki kubbesi, betonarme teknolojisinin erken dönem başarısıdır. Kubbenin merkezinde bulunan oculus dışında hiç penceresi yoktur. Bu devasa kubbeyi mümkün kılan hafif malzeme karışımı ve tonozlu nişlerin desteğidir.","Kubbenin içi mozaiklerle kaplıdır ve gökyüzünü simgeler, ayrıca Roma imparatorlarının mezarıdır."
Mimari,Art Nouveau hareketinin karakteristik bina özellikleri nelerdir?,"Doğal formlardan (çiçekler, böcekler) esinlenen kıvrımlı hatlar, renkli cam paneller, ahşap oymalar ve dekoratif cephe detayları tipiktir. Antoni Gaudí'nin Casa Batlló'su veya Victor Horta'nın Brüksel eserleri buna örnektir.","Keskin geometrik çizgiler, siyah-beyaz renk paleti ve minimalizm ön plandadır."
Mimari,"Le Corbusier'nin ""Villa Savoye""si hangi mimari ideolojiyi yansıtır?","""Makine çağında için yeni bir ev"" felsefesini somutlaştırır. Pilotisler (kolonlar), serbest cephe, teras çatı, düz çatılar ve açık plan gibi ""Beş Evrensel"" prensibini uygulayan modernizmin manifesto binasıdır.","Geleneksel Fransız şato mimarisini taklit eden taş duvarlı, çift katlı bir malikane olarak inşa edilmiştir."
Mimari,Brunelleschi'nin Floransa Katedrali'ndeki Kubbe'sinin önemi nedir?,"Çivi veya kalıp kullanmadan, yalnızca harç ve taştan oluşan devasa bir küresel kubbeyi inşa ettiği ilk kişidir. Karmaşık geçici iskele sistemi (gerçekleşebilirliğini kanıtlamak için yaptığı karton modeli hariç) ve statik hesaplamalarla barut delici mühendislik örneğidir.","Aslında Milano Katedrali'ndeki kubbeden kopyalanmıştır, Floransa'ya sonradan eklenmiştir."
Mimari,Favela mahallelerini tanımlayan mimari özellik nedir?,"Kaynak yetersizliği ve hızlı nüfus artışı nedeniyle gayriresmi olarak gelişen bu yerleşimlerde, eğimli arazilere uyum sağlayan basamaklı yapılar, geri dönüştürülmüş malzemelerden (palet, sac levha) oluşan basit modüller ve paylaşımlı altyapı yaygındır.","Zengin Brezilyalıların lüks tatil evlerinden oluşan turistik bölgelerdir, palmiyeler ve havuzlarla donatılmıştır."
Felsefe,"Batı felsefesinin kurucusu kabul edilen ve ""Sokratik yöntem"" ile tanınan filozof kimdir?","Sokrates'tir. MÖ 5. yüzyılda Atina'da yaşamış, diyalektik sorgulama yoluyla hakikat arayışını temsil eder. Bilgisizliğin farkında olma (""bildiğim tek şey hiçbir şey bilmediğimdir"") ve erdem-ahlak ilişkisi üzerine odaklanmıştır.","Sokrates değil, Platon'dur. O daha ünlüdür zaten."
Felsefe,"""Düşünüyorum, öyleyse varım"" (Cogito, ergo sum) sözünün sahibi olan filozof kimdir?","René Descartes'tır. *Felsefenin İlkeleri*'nde (1641), şüphe edilebilecek her şeyi reddederek sadece düşünen benliğin varlığını kesin bilgi olarak ortaya koyar. Bu, modern felsefenin temellerindendir.",Jean-Paul Sartre söyler o sözü. Varoluşçuluk onun işidir.
Felsefe,Immanuel Kant'ın ahlak felsefesinin temel ilkesi nedir?,"Kategorik Buyruk'tur (Kategorischer Imperativ). Evrenselleştirilebilirlik (""maximin evrensel yasa olabilir mi?"") ve insanlığı araçsallaştırmama ilkelerine dayanır. Ahlaki eylem, salt görev duygusundan kaynaklanmalıdır.","Mutluluk peşinde koşmak gerekir, sonuç önemlidir. Faydacılık gibidir."
Felsefe,"""İnsan doğası gereği sosyal bir hayvandır"" görüşünü savunan antik Yunan filozofu kimdir?","Aristoteles'tir. *Politika* adlı eserinde bireyin toplumdan ayrı düşünülemeyeceğini, devletin doğal bir oluşum olduğunu ve farklı yönetim biçimlerini analiz eder.",Karl Marx der böyle bir şey. Sınıf mücadelesi vardır.
Felsefe,Stoacılık felsefesinin temel öğretisi nedir?,"Kontrolümüz dışındaki olaylara değil, yalnızca kendi tutum ve tepkilerimize odaklanmayı öğütler. Erdem (areté), akılcı yaşamanın tek gerçek iyiliğidir; mutluluğa (eudaimonia) ancak bu yolla ulaşılır. Epiktetos ve Marcus Aurelius temsilcidir.",Para biriktirip lüks içinde yaşamak en iyisidir. Dış dünya önemsizdir.
Felsefe,Thomas Aquinas hangi üçlü yaklaşımı kullanarak Tanrı'nın varlığını kanıtlamıştır?,"Hareket, nedensellik ve zorunlu varlık argümanlarını içeren ""Beş Yolu""nu (Quinque Viae) sunmuştur. Bunlar Akılcılık (Rasyonalizm) ile İman'ı uzlaştırmaya çalışan Senkruzm'un temelidir.",Bilimsel deneylerle ispatlamıştır. Laboratuvarda görmüştür.
Felsefe,"Friedrich Nietzsche'nin ""Tanrı öldü"" sözüyle kastettiği nedir?","Geleneksel Hristiyan değerlerinin, ahlak anlayışının ve metafizik inanç sistemlerinin toplumsal ve kültürel anlamdaki otoritesinin çöktüğünü ifade eder. Bu boşluğu ""üstinsan"" (Übermensch) idealiyle doldurmayı önerir.",Gerçekten Tanrı'nın yok olduğu bilimsel olarak kanıtlanmıştır. Nietzsche bunu keşfetmiştir.
Felsefe,Sofistlerin temel öğretisi neydi?,"Hakikat görelidir (relativizm); insan yapımıdır ve güç/retorik beceriyle şekillendirilir. İnsanın kendini gerçekleştirmesi (arete) ve kamusal başarı kazanması esastır. Protagoras (""İnsan her şeyin ölçüsüdür"") tipik bir örnektir.","Matematik kesin gerçekleri verir, her şey matematiksel olarak ispatlanabilir. Sofistler buna karşı çıkmıştır."
Felsefe,"John Locke'un ""Tabula Rasa"" (boş levha) teorisi nedir?","İnsan zihninin doğuştan herhangi bir fikre sahip olmadığını savunur. Zihin, deneyimler (duyum ve düşünceler) aracılığıyla dolup taşar. Bilginin kaynağı duyusal algıdır. Emprizmin (Deneycilik) temel metnini *İnsan Anlığı Üzerine Bir Deneme*'dir.","Doğuştan gelen fikirlerimiz vardır, bunlar değiştirilemez. Tabula rasa sahte bir teoridir."
Felsefe,"Augustinus'un ""dünyevi cennet"" dediği yer neresidir?","**Gehenna** değildir. Augustinus, cehennemi ""dünyevi cennet"" olarak tanımlar; burada günahkar ruhlar bedensiz acı çeker, nihai mahvın ön aşamasıdır. Cennet ise ilahi bakışla dolu ebedi mutluluktur (*İki Şehrin Yüceliği*).",Eden Bahçesi'dir. Günah işlemeden önceki mükemmel yer orasıdır.
Sanat,"Hangi Rönesans sanatçısı, genellikle ""Mona Lisa"" ile tanınır ve aynı zamanda tarihsel kayıtlara geçen ilk gerçekçi insan portrelerinden bazılarını yaratmıştır?","Leonardo da Vinci. İtalyan Rönesans döneminin dehasıdır. ""Mona Lisa"" (La Gioconda) dünyaca ünlüdür; sfumato tekniğiyle yumuşak geçişler ve gizemli gülümseme karakteristik özellikleridir. Ayrıca ""Son Akşam Yemeği"" freskini yapmış, anatomi üzerine araştırmalar gerçekleştirmiş ve mühendislikte yenilikler geliştirmiştir.","Michelangelo. Sistina Şapeli tavanını yaptığı için bilinir, portre konusunda uzman değildir. Mona Lisa onun eseri değildi."
Sanat,"Vincent van Gogh, hangi ünlü tablosunda kendi kesilmiş kulağını resmetmiştir?","""Kulaklarımla"" (Eigen oorlojaar / My Ear). Bu otoportresi, 1889'da Saint-Rémy-de-Provence'daki akıl hastanesindeyken yaralı kulağıyla çizdiği en bilinen eserdir. Arka planda yatan kişi Theo van Gogh'dur. Tablo Paris'teki Musée d'Orsay'da sergilenmektedir.",Ayçiçekleri. Kulağını kestikten sonra ürettiği ikonik seriye aittir. Kesik kulak teması yoktur.
Sanat,Ukiyo-e denilen geleneksel Japon baskı sanatının Batı sanatı üzerindeki en önemli etkilerinden biri kimin eserlerinde görülmüştür?,"Claude Monet. Empresyonist ressam, Japon baskılarının düz perspektifi, çerçeveleme anlayışı ve konu seçimindeki özgürlüğü benimsedi. Özellikle ""Japon Köprüsü"" serisi ve stüdyosundaki ukiyo-e koleksiyonu, empresyonizmin gelişiminde kritik rol oynadı.","Rembrandt. Barok dönemi Hollandalı ressamıydı, Japon baskılarından önce yaşamış ve ölümünden çok sonra Avrupa'ya ulaşmıştır. Etkileşim mümkün değildir."
Sanat,"Pablo Picasso, Georges Braque ile birlikte hangi sanat akımının kurucularındandır?","Kübizm. Geleneksel perspektif ve formu reddederek nesneleri geometrik şekillerle parçalayıp farklı açılardan yeniden birleştirirler. Picasso'nun ""Avignonlu Kızlar"" (1907) erken bir kübist denemedir; Braque ile mektuplaşmalarında terimi ilk kez kullandıkları kabul edilir.","Soyut Ekspresyonizm. 1940'ların sonrasıdır, Picasso daha sonra soyutlaşmış olsa da kübizmden önce gelir ve Braque ile ortaklığı yoktur."
Sanat,"Osmanlı miniyatür sanatında, figürlerin içinde bulundukları mekanlardan bağımsız olarak betimlendiği, mimari detayların minimalize edildiği tarz nedir?","""Hat sanatına yakın"" (Hatvari) stil. Figürler genellikle ön plana çıkar, arka plan derinliği yerine dekoratif desenlerle doldurulur. Konuya odaklanmayı vurgular. Topkapı Sarayı Kütüphanesi'ndeki el yazmaları bu tarza bol örnek sunar.",Perspektifçi yaklaşım. Miniyatürlerde doğal perspektif uygulaması yüzyıllardır söz konusu değildir; batılı tekniklerden etkilenme geç dönemde sınırlı kalmıştır.
Sanat,"Leonardo da Vinci'nin Mona Lisa dışında, Floransa'daki Uffizi Galerisi'nde sergilenen ve ardında çarpıcı bir fırtına manzarası bulunan büyük ölçekli dini tablosu nedir?","""Son Akşam Yemeği"". Ancak not: Bu fresco Santa Maria delle Grazie Manastırı'ndadır. Uffizi'deki eser, ""Vaftizci Yahya""dır (Baptism of Christ). Arkada dramatik gökyüzü ve melekler vardır, sağ üstte ilahi varlık belirir. Kompozisyon simetrik ve güçlü bir hareket duygusu taşır.","Vitruvius Adamı. Anatomik çizimdir, renkli bir tablo değildir. Uffizi'de sergilenmez."
Sanat,"Antik Mısır sanatında, ölüler kitabında sıklıkla görülen ve ""dünyanın sırtında duran dev"" anlamına gelen koruyucu tanrı kimdir?",Ptah. Firavun Osiris'i diriltmek için kullandığı kil biçimlendirme gücü nedeniyle bu ismi almıştır. Ölünün mumyasını saran bandajlara bazen sırtında dünya resmiyle işlenirdi.,Anubis. Tanrıça Sekhmet'in kuzgun formudur. Sırtında dünya motifi Ptah'a özgüdür.
Sanat,"Çin sumi-e (mürekkep resmi) sanatında, fırça darbeleriyle konunun ruhunu yakalamaya çalışan tek renk siyah mürekkeple yapılan minimalist çalışmalara ne ad verilir?","Wu Wei (Eylemsizlik) felsefesini görselleştiren ""Wu"" (Boşluk) resimleri değil, terimin kendisi ""Mürekkep Resmi"" yani ""Sui Mei""dir. Asıl vurgu ""güçlü kontrastlar"" (yin-yang dengesi) ve ""tek fırça darbesiyle bütünlük"" oluşturmadır.","Kaligrafi. Sumu-e ayrı bir disiplindir, yazı sanatından farklıdır. Siyah mürekkep kullanılır ancak adı ""sui mei""dir."
Sanat,"Heykelde antik Yunan idealizmini yıkan ve ""Rönesans Öncesi Dönemi"" tanımlayan Proto-Rönesans sanatçısı kimdir?","Donatello. ""Davud"" heykeli (genç Davut) mitolojik kahramanı çocuk bedeninde tasvir ederek insan formunun narinliğini öne çıkardı. Meryem'in tahtı (Siena) gibi ahşap rölyeflerde de üç boyutluluk hissi verdi.","Phidias. Parthenon'daki Athena heykeli altın-fildişi kullanımlı devasa bronz heykelleri andırır, insani duygudan uzaktır."
Sanat,"Meksika sanatçısı Frida Kahlo, fiziksel acısını ve kimliğini metaforlarla anlattığı otoportrelerinin çoğunda sol omzunda taşıdığı sembol hangisidir?","Maymun. Onun vahşi, asi ve tıbbi deneylere direnen yönünü simgeler. En ünlü otoportrelerinden ""Maymun, Kelebek ve Kurtuluşum""da (The Wounded Deer) omuzunda yer alır.",Karga. Hayvan genellikle kelebek veya kaplumbağadır; karga nadiren omuzlarda görünür. Sembolizm maymundan çok farklıdır.
Teknoloji,İnternetin resmi olarak doğuşu hangi proje ile kabul edilir?,"İnternetin kökeni, ABD Savunma Bakanlığı'nın ARPANET projesidir. 1969'da UCLA ve Stanford Araştırma Enstitüsü arasında ilk bağlantı kuruldu (""LO"" mesajı gönderildi). Bu, paket anahtarlama teknolojisi üzerine kurulu bugünkü internete evrilen sistemin temelidir.",Tabii ki Google! Her şey Google ile başladı zaten.
